Timescale,N_pairs,Mean_StageIV,Mean_PointGage,Median_StageIV,Median_PointGage,Mean_Difference_StageIV_minus_Point,Median_Difference_StageIV_minus_Point,Paired_TTest_p,Wilcoxon_SignedRank_p,SignTest_p,Paired_Permutation_MeanDiff_p,N_StageIV_Greater,N_PointGage_Greater,N_Ties,Site
Monthly,94,4.342180489973221,3.878191489361701,4.243041476195932,3.465,0.46398900061151865,0.41131584139610666,3.2467627346167556e-08,2.4653960022304542e-09,1.8461183606763278e-08,0.0002,74,20,0,Philadelphia
Seasonal,32,12.755155189296337,11.3921875,13.259568497402348,11.125,1.362967689296336,1.1187706445329555,1.8129638655348917e-06,4.021450877189636e-06,0.0005350527353584766,0.0002,26,6,0,Philadelphia
WaterYear,8,51.02062075718534,45.56875,53.60365943445763,47.345,5.451870757185345,5.699088212014544,0.005418986182746866,0.0078125,0.0078125,0.0078125,8,0,0,Philadelphia
Monthly,94,4.784221995093396,4.329893617021277,4.747338967273618,4.255,0.45432837807211923,0.2520646309055081,4.7664089044505354e-05,8.580367713918865e-07,9.375635307717017e-06,0.0002,68,25,1,Atlanta
Seasonal,32,14.053652110586851,12.7190625,14.382757415108259,13.375,1.3345896105868502,1.1577083956692826,0.0008177088096489996,0.00047181500121951103,0.0005350527353584766,0.0002,26,6,0,Atlanta
WaterYear,8,56.2146084423474,50.87625,57.06836565871059,51.11,5.338358442347403,6.412810506889727,0.004771334118409665,0.015625,0.0703125,0.015625,7,1,0,Atlanta
Monthly,94,2.7533399381574437,2.541702127659575,2.1143638942882435,1.8800000000000001,0.21163781049786956,0.13271528791275994,0.009711902369129255,0.0021060583188796346,0.0034618534914423785,0.0094,61,32,1,Austin
Seasonal,32,8.087936068337491,7.4662500000000005,7.788332526449724,7.199999999999999,0.6216860683374918,0.3715321860023053,0.01716195570761307,0.010509172920137644,0.050102459732443094,0.0146,22,10,0,Austin
WaterYear,8,32.351744273349965,29.865000000000002,32.16696832142705,29.6,2.4867442733499674,1.925688640324612,0.03321557994042007,0.0078125,0.0078125,0.0078125,8,0,0,Austin
