DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed
2022-09-01 00:00:00+00:00,0.0,st4_conus.2022090100.01h.grb2,conus,WatershedFraction
2022-09-01 01:00:00+00:00,0.0,st4_conus.2022090101.01h.grb2,conus,WatershedFraction
2022-09-01 02:00:00+00:00,0.0,st4_conus.2022090102.01h.grb2,conus,WatershedFraction
2022-09-01 03:00:00+00:00,0.0,st4_conus.2022090103.01h.grb2,conus,WatershedFraction
2022-09-01 04:00:00+00:00,0.0,st4_conus.2022090104.01h.grb2,conus,WatershedFraction
2022-09-01 05:00:00+00:00,0.0,st4_conus.2022090105.01h.grb2,conus,WatershedFraction
2022-09-01 06:00:00+00:00,0.0,st4_conus.2022090106.01h.grb2,conus,WatershedFraction
2022-09-01 07:00:00+00:00,0.0,st4_conus.2022090107.01h.grb2,conus,WatershedFraction
2022-09-01 08:00:00+00:00,0.0,st4_conus.2022090108.01h.grb2,conus,WatershedFraction
2022-09-01 09:00:00+00:00,0.0,st4_conus.2022090109.01h.grb2,conus,WatershedFraction
2022-09-01 10:00:00+00:00,0.0,st4_conus.2022090110.01h.grb2,conus,WatershedFraction
2022-09-01 11:00:00+00:00,0.0,st4_conus.2022090111.01h.grb2,conus,WatershedFraction
2022-09-01 12:00:00+00:00,0.0,st4_conus.2022090112.01h.grb2,conus,WatershedFraction
2022-09-01 13:00:00+00:00,0.0,st4_conus.2022090113.01h.grb2,conus,WatershedFraction
2022-09-01 14:00:00+00:00,0.0,st4_conus.2022090114.01h.grb2,conus,WatershedFraction
2022-09-01 15:00:00+00:00,0.0,st4_conus.2022090115.01h.grb2,conus,WatershedFraction
2022-09-01 16:00:00+00:00,0.0,st4_conus.2022090116.01h.grb2,conus,WatershedFraction
2022-09-01 17:00:00+00:00,0.0,st4_conus.2022090117.01h.grb2,conus,WatershedFraction
2022-09-01 18:00:00+00:00,0.0,st4_conus.2022090118.01h.grb2,conus,WatershedFraction
2022-09-01 19:00:00+00:00,0.0,st4_conus.2022090119.01h.grb2,conus,WatershedFraction
2022-09-01 20:00:00+00:00,0.0,st4_conus.2022090120.01h.grb2,conus,WatershedFraction
2022-09-01 21:00:00+00:00,0.0,st4_conus.2022090121.01h.grb2,conus,WatershedFraction
2022-09-01 22:00:00+00:00,0.0,st4_conus.2022090122.01h.grb2,conus,WatershedFraction
2022-09-01 23:00:00+00:00,0.0,st4_conus.2022090123.01h.grb2,conus,WatershedFraction
2022-09-02 00:00:00+00:00,0.0,st4_conus.2022090200.01h.grb2,conus,WatershedFraction
2022-09-02 01:00:00+00:00,0.0,st4_conus.2022090201.01h.grb2,conus,WatershedFraction
2022-09-02 02:00:00+00:00,0.0,st4_conus.2022090202.01h.grb2,conus,WatershedFraction
