DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2019-11-01 00:00:00+00:00,0.0,ST4.2019110100.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 01:00:00+00:00,0.0,ST4.2019110101.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 02:00:00+00:00,0.0,ST4.2019110102.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 03:00:00+00:00,0.0,ST4.2019110103.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 04:00:00+00:00,0.0,ST4.2019110104.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 05:00:00+00:00,0.0,ST4.2019110105.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 06:00:00+00:00,0.0,ST4.2019110106.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 07:00:00+00:00,0.0,ST4.2019110107.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 08:00:00+00:00,0.0,ST4.2019110108.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 09:00:00+00:00,0.0,ST4.2019110109.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 10:00:00+00:00,0.0,ST4.2019110110.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 11:00:00+00:00,0.0,ST4.2019110111.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 12:00:00+00:00,0.0,ST4.2019110112.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 13:00:00+00:00,0.0,ST4.2019110113.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 14:00:00+00:00,0.0,ST4.2019110114.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 15:00:00+00:00,0.0,ST4.2019110115.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 16:00:00+00:00,0.0,ST4.2019110116.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 17:00:00+00:00,0.0,ST4.2019110117.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 18:00:00+00:00,0.0,ST4.2019110118.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 19:00:00+00:00,0.0,ST4.2019110119.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 20:00:00+00:00,0.0,ST4.2019110120.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 21:00:00+00:00,0.0,ST4.2019110121.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 22:00:00+00:00,0.0,ST4.2019110122.01h,legacy,WatershedFraction,pygrib:tp
2019-11-01 23:00:00+00:00,0.0,ST4.2019110123.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 00:00:00+00:00,0.0,ST4.2019110200.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 01:00:00+00:00,0.0,ST4.2019110201.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 02:00:00+00:00,0.0,ST4.2019110202.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 03:00:00+00:00,0.0,ST4.2019110203.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 04:00:00+00:00,0.0,ST4.2019110204.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 05:00:00+00:00,0.0,ST4.2019110205.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 06:00:00+00:00,0.0,ST4.2019110206.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 07:00:00+00:00,0.0,ST4.2019110207.01h,legacy,WatershedFraction,pygrib:tp
2019-11-02 08:00:00+00:00,0.0,ST4.2019110208.01h,legacy,WatershedFraction,pygrib:tp
