DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed,LoadMethod
2017-05-01 00:00:00+00:00,0.0,ST4.2017050100.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 01:00:00+00:00,0.0,ST4.2017050101.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 02:00:00+00:00,0.0,ST4.2017050102.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 03:00:00+00:00,0.0,ST4.2017050103.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 04:00:00+00:00,0.0,ST4.2017050104.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 05:00:00+00:00,0.0,ST4.2017050105.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 06:00:00+00:00,0.0,ST4.2017050106.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 07:00:00+00:00,0.0,ST4.2017050107.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 08:00:00+00:00,0.0,ST4.2017050108.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 09:00:00+00:00,0.0,ST4.2017050109.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 10:00:00+00:00,0.0,ST4.2017050110.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 11:00:00+00:00,0.0,ST4.2017050111.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 12:00:00+00:00,0.0,ST4.2017050112.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 13:00:00+00:00,0.0,ST4.2017050113.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 14:00:00+00:00,0.0,ST4.2017050114.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 15:00:00+00:00,0.0,ST4.2017050115.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 16:00:00+00:00,0.0,ST4.2017050116.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 17:00:00+00:00,0.0,ST4.2017050117.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 18:00:00+00:00,0.0,ST4.2017050118.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 19:00:00+00:00,0.0,ST4.2017050119.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 20:00:00+00:00,0.0,ST4.2017050120.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 21:00:00+00:00,0.0,ST4.2017050121.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 22:00:00+00:00,0.0,ST4.2017050122.01h,legacy,WatershedFraction,pygrib:tp
2017-05-01 23:00:00+00:00,0.0,ST4.2017050123.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 00:00:00+00:00,0.0,ST4.2017050200.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 01:00:00+00:00,0.0,ST4.2017050201.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 02:00:00+00:00,0.0,ST4.2017050202.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 03:00:00+00:00,0.0,ST4.2017050203.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 04:00:00+00:00,0.0,ST4.2017050204.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 05:00:00+00:00,0.0,ST4.2017050205.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 06:00:00+00:00,0.0,ST4.2017050206.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 07:00:00+00:00,0.0,ST4.2017050207.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 08:00:00+00:00,0.0,ST4.2017050208.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 09:00:00+00:00,0.0,ST4.2017050209.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 10:00:00+00:00,0.0,ST4.2017050210.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 11:00:00+00:00,0.0,ST4.2017050211.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 12:00:00+00:00,0.0,ST4.2017050212.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 13:00:00+00:00,0.0,ST4.2017050213.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 14:00:00+00:00,0.0,ST4.2017050214.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 15:00:00+00:00,0.0,ST4.2017050215.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 16:00:00+00:00,0.0,ST4.2017050216.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 17:00:00+00:00,0.0,ST4.2017050217.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 18:00:00+00:00,0.0,ST4.2017050218.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 19:00:00+00:00,0.0,ST4.2017050219.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 20:00:00+00:00,0.0,ST4.2017050220.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 21:00:00+00:00,0.0,ST4.2017050221.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 22:00:00+00:00,0.0,ST4.2017050222.01h,legacy,WatershedFraction,pygrib:tp
2017-05-02 23:00:00+00:00,0.0,ST4.2017050223.01h,legacy,WatershedFraction,pygrib:tp
2017-05-03 00:00:00+00:00,0.0,ST4.2017050300.01h,legacy,WatershedFraction,pygrib:tp
2017-05-03 01:00:00+00:00,0.0,ST4.2017050301.01h,legacy,WatershedFraction,pygrib:tp
