DateTimeUTC,StageIV_Precip_in,SelectedFile,SourceType,WeightColUsed
2021-08-01 00:00:00+00:00,0.0,st4_conus.2021080100.01h.grb2,conus,WatershedFraction
2021-08-01 01:00:00+00:00,0.0,st4_conus.2021080101.01h.grb2,conus,WatershedFraction
2021-08-01 02:00:00+00:00,0.0,st4_conus.2021080102.01h.grb2,conus,WatershedFraction
2021-08-01 03:00:00+00:00,0.0,st4_conus.2021080103.01h.grb2,conus,WatershedFraction
2021-08-01 04:00:00+00:00,0.0,st4_conus.2021080104.01h.grb2,conus,WatershedFraction
2021-08-01 05:00:00+00:00,0.0,st4_conus.2021080105.01h.grb2,conus,WatershedFraction
2021-08-01 06:00:00+00:00,0.0,st4_conus.2021080106.01h.grb2,conus,WatershedFraction
2021-08-01 07:00:00+00:00,0.0,st4_conus.2021080107.01h.grb2,conus,WatershedFraction
2021-08-01 08:00:00+00:00,0.0,st4_conus.2021080108.01h.grb2,conus,WatershedFraction
2021-08-01 09:00:00+00:00,0.0,st4_conus.2021080109.01h.grb2,conus,WatershedFraction
2021-08-01 10:00:00+00:00,0.0,st4_conus.2021080110.01h.grb2,conus,WatershedFraction
2021-08-01 11:00:00+00:00,0.0,st4_conus.2021080111.01h.grb2,conus,WatershedFraction
2021-08-01 12:00:00+00:00,0.0,st4_conus.2021080112.01h.grb2,conus,WatershedFraction
2021-08-01 13:00:00+00:00,0.0,st4_conus.2021080113.01h.grb2,conus,WatershedFraction
2021-08-01 14:00:00+00:00,0.0011736177127931085,st4_conus.2021080114.01h.grb2,conus,WatershedFraction
2021-08-01 15:00:00+00:00,0.005467077044562143,st4_conus.2021080115.01h.grb2,conus,WatershedFraction
2021-08-01 16:00:00+00:00,0.00226656855454412,st4_conus.2021080116.01h.grb2,conus,WatershedFraction
2021-08-01 17:00:00+00:00,0.0,st4_conus.2021080117.01h.grb2,conus,WatershedFraction
2021-08-01 18:00:00+00:00,0.33340537339560006,st4_conus.2021080118.01h.grb2,conus,WatershedFraction
